onset,time,hcom_velocity,hip_angle,knee_angle,hip_torque,knee_torque
0,1.775,-0.00025121,58.4519599,81.7398056,-0.487359146046512,0.066575795503876
0,1.78,-0.0003204,58.46197642,81.73880791,-0.487140147751938,0.066551753643411
0,1.785,-0.00038347,58.46256265,81.73998523,-0.48692473627907,0.066517888217054
0,1.79,-0.00044046,58.46318654,81.74052953,-0.486729486666667,0.066476197364341
0,1.795,-0.00049152,58.46368882,81.74090227,-0.48656850248062,0.066427513023256
0,1.8,-0.00053696,58.4642258,81.74071384,-0.48645179627907,0.06637229503876
0,1.805,-0.00057724,58.46450696,81.74080278,-0.486387001550388,0.066312376124031
0,1.81,-0.00061303,58.47016041,81.73915957,-0.486382427286822,0.06625298124031
0,1.815,-0.00064509,58.47090621,81.74090932,-0.486447851472868,0.066203156899225
0,1.82,-0.00067434,58.47142158,81.74149406,-0.486593102015504,0.066174436434109
0,1.825,-0.00070181,58.47175018,81.74182385,-0.486826254573643,0.066179076899225
0,1.83,-0.00072863,58.47207801,81.74194747,-0.487152020155039,0.066228552093023
0,1.835,-0.00075605,58.47233102,81.74197313,-0.487568791472868,0.066331576899225
0,1.84,-0.00078533,58.47259993,81.7419023,-0.488064620930233,0.066492013643411
0,1.845,-0.00081776,58.47931119,81.74337207,-0.488613300465116,0.066705808527132
0,1.85,-0.00085457,58.4791343,81.74366739,-0.489174235813954,0.066958903565892
0,1.855,-0.00089689,58.47909969,81.74377542,-0.489697065426357,0.067228201705426
0,1.86,-0.00094573,58.4794339,81.74357239,-0.490130295968992,0.067485726511628
0,1.865,-0.00100197,58.47887062,81.74376337,-0.490430352093023,0.067704367286822
0,1.87,-0.00106636,58.47887242,81.7437593,-0.490568264651163,0.067862536434109
0,1.875,-0.00113943,58.47850343,81.74357203,-0.490534366356589,0.067946923255814
0,1.88,-0.00122157,58.47851139,81.74356108,-0.490339751782946,0.067953733488372
0,1.885,-0.00131298,58.47530312,81.74103814,-0.490012816124031,0.067888029302326
0,1.89,-0.00141367,58.47531798,81.74106946,-0.489591716899225,0.067761629922481
0,1.895,-0.00152343,58.47558103,81.74252236,-0.489117066046512,0.06759031875969
0,1.9,-0.00164189,58.47558983,81.74252171,-0.48862651503876,0.067391551782946
0,1.905,-0.00176845,58.47599972,81.74232719,-0.488152485271318,0.06718329131783
0,1.91,-0.00190233,58.47596601,81.74234338,-0.487720916744186,0.06698256620155
0,1.915,-0.00204269,58.46728686,81.74505524,-0.487349085426357,0.066803227751938
0,1.92,-0.0021886,58.4672747,81.7450296,-0.487043999534884,0.066654428062016
0,1.925,-0.00233913,58.46744992,81.74464081,-0.48680240868217,0.066540495503876
0,1.93,-0.00249333,58.46742063,81.74462566,-0.486611558914729,0.066461050387597
0,1.935,-0.0026502,58.4675206,81.74427638,-0.486454909767442,0.066413712093023
0,1.94,-0.00280882,58.45427367,81.74490409,-0.48631977379845,0.066398130697675
0,1.945,-0.0029683,58.45429992,81.74460287,-0.48619879131783,0.066416355193799
0,1.95,-0.00312784,58.4542323,81.74426015,-0.486087273333333,0.066470777674419
0,1.955,-0.00328665,58.45346408,81.74381673,-0.485983041085271,0.06656312124031
0,1.96,-0.00344395,58.45352072,81.74379913,-0.485886622015504,0.066693377829457
0,1.965,-0.00359896,58.43789371,81.74382515,-0.485800606356589,0.066858845426357
0,1.97,-0.00375091,58.43797594,81.74380707,-0.48572868,0.067054196899225
0,1.975,-0.00389902,58.43817565,81.7438132,-0.485675683255814,0.067272825116279
0,1.98,-0.00404245,58.43824306,81.74381994,-0.485647662325581,0.067508128837209
0,1.985,-0.00418023,58.43821221,81.74424157,-0.485650586356589,0.067752887441861
0,1.99,-0.00431131,58.43632486,81.74621963,-0.485687941705426,0.067997960310078
0,1.995,-0.00443459,58.43669185,81.74594383,-0.485759413023256,0.06823285751938
0,2,-0.00454912,58.43624116,81.74588357,-0.485858931472868,0.06844648124031
0,2.005,-0.00465424,58.40925597,81.74307805,-0.485971473023256,0.068627219689923
0,2.01,-0.00474974,58.40958646,81.74264708,-0.486071594108527,0.068763442945737
0,2.015,-0.00483585,58.40951966,81.74292624,-0.486125504341085,0.068844453953488
0,2.02,-0.00491314,58.40975991,81.74306988,-0.486096086046512,0.068861689302326
0,2.025,-0.00498245,58.40990936,81.74322035,-0.485949506356589,0.068810233023256
0,2.03,-0.00504477,58.40936239,81.74383397,-0.485661006356589,0.068690157829457
0,2.035,-0.00510124,58.39360473,81.74252109,-0.485220073488372,0.068507557984496
0,2.04,-0.00515311,58.39417157,81.74227725,-0.484632475193798,0.068273611937985
0,2.045,-0.00520175,58.39473023,81.74180554,-0.483919196744186,0.068002170232558
0,2.05,-0.00524848,58.39510564,81.74151514,-0.483113059379845,0.06770744124031
0,2.055,-0.00529453,58.39099793,81.74357178,-0.482253553333333,0.067402645891473
0,2.06,-0.00534099,58.39052076,81.74162853,-0.481382341395349,0.067099070542636
0,2.065,-0.00538879,58.39069513,81.74075716,-0.480538354728682,0.066804996899225
0,2.07,-0.00543866,58.39098123,81.74011285,-0.479753262790698,0.06652536620155
0,2.075,-0.00549124,58.37579906,81.73711858,-0.479048910697674,0.066262153953488
0,2.08,-0.00554706,58.37654991,81.73620404,-0.478437311782946,0.066015467906977
0,2.085,-0.00560656,58.37717684,81.73550095,-0.477920494573643,0.065783266666667
0,2.09,-0.00567001,58.37770149,81.73489671,-0.477490221085271,0.065560417364341
0,2.095,-0.00573753,58.36803189,81.73175756,-0.477129507751938,0.065339686046512
0,2.1,-0.00580901,58.3677469,81.73162034,-0.476816463565891,0.065113407906977
