time,counter,hcom_velocity,hip_angle,knee_angle,hip_torque,knee_torque
0.0,0,0.00115083,73.81738427,74.68849046,-0.34199657559715946,0.062040319819238215
0.01199004975124378,1,0.001605380149253724,73.81767592860696,74.68847330064676,-0.34186588235260107,0.06219717244314257
0.02398009950248756,2,0.0020858025373134354,73.82909808,74.68934821,-0.34217083139949056,0.06246744206726214
0.03597014925373134,3,0.002585796417910443,73.83263913761193,74.6913072416418,-0.3424774428548028,0.06265880995153349
0.04796019900497512,4,0.003103406169154223,73.84783171940299,74.69592515935324,-0.3424402075131123,0.06275128052250047
0.0599502487562189,5,0.003639043034825868,73.84946758034825,74.69448961278607,-0.3421874298777256,0.06285409244095853
0.07194029850746268,6,0.004194701194029852,73.87938551074626,74.69849599074627,-0.34160900396596744,0.0628421310522918
0.08393034825870646,7,0.004773090099502488,73.8803783402985,74.70004093681591,-0.3403219453275906,0.06254111904839905
0.09592039800995024,8,0.005379606716417901,73.90354775567164,74.70279708034826,-0.33827315770277083,0.062093381691285345
0.10791044776119402,9,0.006012221044776123,73.92142063746269,74.70510781701492,-0.3356346160276731,0.061607641941358406
0.1199004975124378,10,0.006661993532338302,73.93347374840796,74.7064191576617,-0.33296911578389526,0.0612392919360589
0.13189054726368157,11,0.007321562388059699,73.96129480228856,74.71075286487563,-0.3306430886522841,0.061070553603833636
0.14388059701492537,12,0.007989126268656714,73.98654837402985,74.71019620238806,-0.32824233628050836,0.060917890666101385
0.15587064676616913,13,0.008675986616915408,74.02418923129353,74.71121434343284,-0.32553974160893406,0.06085927786760195
0.16786069651741292,14,0.009407315621890549,74.0452693317413,74.70873516820895,-0.322582874397541,0.06104446518729785
0.17985074626865669,15,0.010216574328358196,74.07619632179104,74.70914580194031,-0.31910751770328477,0.06127718907335497
0.19184079601990048,16,0.011158867363184086,74.11615583721392,74.70456584159204,-0.314495089687778,0.061250112726233256
0.20383084577114427,17,0.012280958905472627,74.15886023547263,74.69738007014925,-0.308171600012205,0.06085649335440294
0.21582089552238803,18,0.013644235074626873,74.1988602722388,74.69192407014926,-0.2999975530443328,0.06005286160739234
0.22781094527363183,19,0.01530777771144278,74.2530274819403,74.68182661985075,-0.2907685688600253,0.059031588763734585
0.2398009950248756,20,0.017301978358208913,74.29303779701493,74.67152074686567,-0.28151837300714005,0.05819444156878617
0.25179104477611935,21,0.01967419343283582,74.36657242507462,74.66273501955224,-0.27283690831446383,0.057663622493086535
0.26378109452736315,22,0.022407165074626822,74.42951507512437,74.64563185875622,-0.2647335970984331,0.057358988219008256
0.27577114427860694,23,0.025490716865671646,74.50286725114428,74.63450146905473,-0.2571459772300537,0.0573632853948463
0.28776119402985073,24,0.028896965223880567,74.58596439029851,74.61989546268657,-0.24981194288081868,0.05769990061185357
0.2997512437810945,25,0.03257150781094519,74.67955965019901,74.60964189985074,-0.24247276937391818,0.05841560638062109
0.31174129353233826,26,0.03648466079601988,74.78473900049751,74.60382389995024,-0.23451197185794723,0.05941722663955882
0.32373134328358205,27,0.04058824298507458,74.89453314164179,74.59485684820896,-0.22539339987281162,0.06046907132574698
0.33572139303482584,28,0.04486605691542289,75.01622414915423,74.59279089034825,-0.21550234983057595,0.06165810699954071
0.34771144278606964,29,0.049322989154228794,75.14387091930348,74.59208504278607,-0.20551475560159188,0.06313635951809703
0.35970149253731337,30,0.053973198656716445,75.28202880447762,74.59824776895523,-0.19594352284863606,0.06503311771870153
0.37169154228855716,31,0.05887110572139298,75.42412116417911,74.6000038157214,-0.1869442435093738,0.06737801495042539
0.38368159203980096,32,0.06405885800995016,75.57157477701492,74.59938429890548,-0.17789166921557492,0.06953153989124741
0.39567164179104475,33,0.06960181940298506,75.72939034328358,74.59997957955224,-0.1688978935760192,0.07128868954260331
0.40766169154228854,34,0.0755779979601989,75.89658465716417,74.59927978567164,-0.16088502545824793,0.07303599160170737
0.4196517412935323,35,0.08203865114427861,76.07162675213931,74.5927081600995,-0.1542759172356423,0.07509775094829275
0.43164179104477607,36,0.08909320895522377,76.25780302134328,74.58311082328359,-0.14881424859562747,0.07738099345557554
0.44363184079601986,37,0.09679803467661698,76.45590403945273,74.57207479104478,-0.1440976185451053,0.0796397639748321
0.45562189054726365,38,0.10524194532338302,76.66591277656717,74.55430002621891,-0.14018438175423723,0.08179023267458702
0.4676119402985074,39,0.11452463507462678,76.89039882582088,74.53484802208955,-0.13737751341356486,0.08390000902652649
0.4796019900497512,40,0.12466709383084573,77.13114463218906,74.51129382761194,-0.13566430140774502,0.08594735461556001
0.491592039800995,41,0.13575279442786048,77.3936846800995,74.48531183537312,-0.13486725399599808,0.08788632629107525
0.5035820895522387,42,0.14774156134328356,77.68030879880597,74.45622633179104,-0.134602999094264,0.08971797847046241
0.5155721393034826,43,0.16060006641791028,77.99620733895523,74.42552724064677,-0.13445632757773432,0.09127613384016006
0.5275621890547263,44,0.1742800671641789,78.34082434835821,74.39320532935324,-0.13455904533176596,0.09244443639517068
0.5395522388059701,45,0.18865063701492532,78.71649857179104,74.36021493432835,-0.1357586789917424,0.09357160934449764
0.5515422885572139,46,0.20364259457711406,79.11842728577113,74.32038201437811,-0.1391857021304066,0.09515132224416968
0.5635323383084576,47,0.21912974507462676,79.54740022701492,74.27645804606965,-0.14512204367253462,0.09719613503753022
0.5755223880597015,48,0.23502117388059676,80.00282542074625,74.22842824492538,-0.15273280539587397,0.0993820173727874
0.5875124378109452,49,0.25124715865671643,80.48848679880597,74.1784494860199,-0.16079627530520413,0.10141760973634088
